번호,게시판,제목,작성자,날짜,조회수
1,자유게시판,히포크라테스의 친구들 카페를 시작합니다.,드림True,2020.01.08.,386
3,벤지미다졸정보나누기,알벤다졸구충제임상효과 고려대논문자료,드림True,2020.01.08.,493
4,벤지미다졸정보나누기,알벤다졸 연세대국책과제논문 난소암 연구논문,드림True,2020.01.08.,112
5,피르비늄 정보,피르비늄 암세포사멸의 오토파지 표적치료제.,드림True,2020.01.08.,328
6,기타항목추가1,살구씨 제품류 안전실태조사,드림True,2020.01.08.,71
8,면역 항암제,키트루다,드림True,2020.01.08.,227
9,피르비늄 정보,구충제가 '간암 치료 신약'으로 등극 / YTN 사이언스,드림True,2020.01.08.,162
10,유투브방송 링크나눔,조티펜스영상 Joe Tippens Cures Terminal Cancer with Pet Medicine.,드림True,2020.01.08.,44
11,면역 항암제,"리툭시맙,트룩시마 (단클론항체,유전자재조합)",드림True,2020.01.08.,83
12,표준 항암제,"'카소덱스', 사정장애·부고환염 첫 이상반응",드림True,2020.01.08.,48
13,비타민 C,고박사 벤다졸류 흡수 시 나타나는 증상및 흡수 메카니즘 정보,아스트랄,2020.01.08.,210
14,스텝신청게시판,누구나 중요게시판에 정보를 올리고 싶은분들은 신청하세요(이곳 신청게시판),드림True,2020.01.08.,111
15,유투브방송 링크나눔,FDA 승인된 항암제 조건?,드림True,2020.01.08.,40
16,유투브방송 링크나눔,버진스키 - 암은 큰 산업이다,드림True,2020.01.08.,53
17,유투브방송 링크나눔,암이 없는 세상,드림True,2020.01.08.,62
18,유투브방송 링크나눔,비타민c 항암의 비밀,드림True,2020.01.08.,110
19,유투브방송 링크나눔,비타민 C 이왕재교수,드림True,2020.01.08.,130
20,정보 공유,4 약물 COC 프로토콜 ™ ( Care Oncology Clinic ) :,드림True,2020.01.08.,617
21,정보 공유,COC 프로토콜을 시작하는 과정은 무엇입니까?,드림True,2020.01.08.,152
22,정보 공유,673) 이버 멕틴 (Ivermectin)의 항암 작용 (1) : 기생충 치료제가 암세포를 사멸,드림True,2020.01.08.,206
24,정보 공유,Drug Repositioning (신약재창출)이란?,드림True,2020.01.08.,54
25,정보 공유,약사법개정안,드림True,2020.01.08.,111
26,정보 공유,"신약개발을 위한 또 하나의 전략, Drug Repositioning",드림True,2020.01.08.,129
27,정보 공유,주요국의 신약재창출(,드림True,2020.01.08.,57
28,정보 공유,강직성척수염. 복용후기.,정인82,2020.01.09.,125
29,정보 공유,구충제대란 향후 예측.,정인82,2020.01.09.,600
30,가입 인사,안녕하세요~~,분홍앵초,2020.01.09.,584
31,질문과 대답(QnA),질문 있습니다.,분홍앵초,2020.01.09.,515
32,가입 인사,가입인사,시현맘,2020.01.09.,36
33,가입 인사,가입인사드려요~~,오뚜기,2020.01.09.,28
35,유투브방송 링크나눔,충수 (맹장 ) 없애지 마세요.,분홍앵초,2020.01.09.,407
36,자유게시판,"갑자기 찾아 온 "" 그 """,분홍앵초,2020.01.09.,443
37,가입 인사,안녕하세요..,뚱배,2020.01.09.,23
38,가입 인사,불러주셔서 감사합니다,유주순행,2020.01.09.,31
39,가입 인사,안녕하세요,mkj9223,2020.01.09.,19
